matthews_corrcoef	roc_auc_score	precision[0]	precision[1]	recall[0]	recall[1]	fscore[0]	fscore[1]	support_0	support_1
-0.0663804545712	0.482558139535	0.873684210526	0.0	0.96511627907	0.0	0.917127071823	0.0	86	12
0.0342366167823	0.516229712859	0.911111111111	0.125	0.921348314607	0.111111111111	0.916201117318	0.117647058824	89	9
0.331818181818	0.665909090909	0.931818181818	0.4	0.931818181818	0.4	0.931818181818	0.4	88	10
-0.0453816765612	0.483695652174	0.936842105263	0.0	0.967391304348	0.0	0.951871657754	0.0	92	6
0.253392465141	0.579414838036	0.904255319149	0.5	0.977011494253	0.181818181818	0.939226519337	0.266666666667	87	11
-0.0733504504357	0.477011494253	0.882978723404	0.0	0.954022988506	0.0	0.917127071823	0.0	87	11
0.261187771264	0.724731182796	0.975308641975	0.176470588235	0.849462365591	0.6	0.908045977011	0.272727272727	93	5
-0.0486561840101	0.488636363636	0.895833333333	0.0	0.977272727273	0.0	0.934782608696	0.0	88	10
0.109090909091	0.554545454545	0.909090909091	0.2	0.909090909091	0.2	0.909090909091	0.2	88	10
-0.0458992546022	0.488764044944	0.90625	0.0	0.977528089888	0.0	0.940540540541	0.0	89	9
0.428174419289	0.6	0.916666666667	1.0	1.0	0.2	0.95652173913	0.333333333333	88	10
0.112974781224	0.582446808511	0.966292134831	0.111111111111	0.914893617021	0.25	0.939890710383	0.153846153846	94	4
0.114321893984	0.53003875969	0.884210526316	0.333333333333	0.976744186047	0.0833333333333	0.92817679558	0.133333333333	86	12
0.351431748003	0.665277777778	0.945054945055	0.428571428571	0.955555555556	0.375	0.950276243094	0.4	90	8
0.448530615648	0.670323928945	0.923913043478	0.666666666667	0.977011494253	0.363636363636	0.949720670391	0.470588235294	87	11
0.377541750892	0.655797101449	0.957446808511	0.5	0.978260869565	0.333333333333	0.967741935484	0.4	92	6
0.0793111445445	0.534722222222	0.923913043478	0.166666666667	0.944444444444	0.125	0.934065934066	0.142857142857	90	8
-0.0458992546022	0.488764044944	0.90625	0.0	0.977528089888	0.0	0.940540540541	0.0	89	9
0.0769230769231	0.538461538462	0.934065934066	0.142857142857	0.934065934066	0.142857142857	0.934065934066	0.142857142857	91	7
0.313696258797	0.619122257053	0.913043478261	0.5	0.965517241379	0.272727272727	0.938547486034	0.352941176471	87	11
0.213551461247	0.588639200999	0.923913043478	0.333333333333	0.955056179775	0.222222222222	0.939226519337	0.266666666667	89	9
0.196323633513	0.565891472868	0.89247311828	0.4	0.96511627907	0.166666666667	0.927374301676	0.235294117647	86	12
0.247419664012	0.594257178527	0.924731182796	0.4	0.966292134831	0.222222222222	0.945054945055	0.285714285714	89	9
0.143032391923	0.554945054945	0.936170212766	0.25	0.967032967033	0.142857142857	0.951351351351	0.181818181818	91	7
0.166242192022	0.535852713178	0.885416666667	0.5	0.988372093023	0.0833333333333	0.934065934066	0.142857142857	86	12
0.211366748847	0.573667711599	0.903225806452	0.4	0.965517241379	0.181818181818	0.933333333333	0.25	87	11
0.100830689044	0.532954545455	0.904255319149	0.25	0.965909090909	0.1	0.934065934066	0.142857142857	88	10
-0.0631881355309	0.48275862069	0.884210526316	0.0	0.965517241379	0.0	0.923076923077	0.0	87	11
0.195131792226	0.577272727273	0.913043478261	0.333333333333	0.954545454545	0.2	0.933333333333	0.25	88	10
0.186193993479	0.583021223471	0.923076923077	0.285714285714	0.943820224719	0.222222222222	0.933333333333	0.25	89	9
0.183333333333	0.591666666667	0.933333333333	0.25	0.933333333333	0.25	0.933333333333	0.25	90	8
-0.0366576730631	0.484042553191	0.957894736842	0.0	0.968085106383	0.0	0.962962962963	0.0	94	4
-0.0695384062369	0.477272727273	0.893617021277	0.0	0.954545454545	0.0	0.923076923077	0.0	88	10
0.295024242539	0.577519379845	0.894736842105	0.666666666667	0.988372093023	0.166666666667	0.939226519337	0.266666666667	86	12
0.143032391923	0.593085106383	0.967032967033	0.142857142857	0.936170212766	0.25	0.951351351351	0.181818181818	94	4
0.259005943391	0.601744186047	0.901098901099	0.428571428571	0.953488372093	0.25	0.926553672316	0.315789473684	86	12
-0.0655982600657	0.477528089888	0.904255319149	0.0	0.955056179775	0.0	0.928961748634	0.0	89	9
0.197788701321	0.577380952381	0.877777777778	0.375	0.940476190476	0.214285714286	0.908045977011	0.272727272727	84	14
0.170388550274	0.553571428571	0.870967741935	0.4	0.964285714286	0.142857142857	0.915254237288	0.210526315789	84	14
0.186193993479	0.604395604396	0.943820224719	0.222222222222	0.923076923077	0.285714285714	0.933333333333	0.25	91	7
0.390210831159	0.722826086957	0.966666666667	0.375	0.945652173913	0.5	0.956043956044	0.428571428571	92	6
-0.0486561840101	0.488636363636	0.895833333333	0.0	0.977272727273	0.0	0.934782608696	0.0	88	10
0.247419664012	0.594257178527	0.924731182796	0.4	0.966292134831	0.222222222222	0.945054945055	0.285714285714	89	9
0.22823647081	0.582954545455	0.913978494624	0.4	0.965909090909	0.2	0.939226519337	0.266666666667	88	10
-0.0412042821715	0.483870967742	0.947368421053	0.0	0.967741935484	0.0	0.957446808511	0.0	93	5
-0.0663804545712	0.482558139535	0.873684210526	0.0	0.96511627907	0.0	0.917127071823	0.0	86	12
0.0868426635275	0.533083645443	0.913978494624	0.2	0.955056179775	0.111111111111	0.934065934066	0.142857142857	89	9
0.301701733787	0.577083333333	0.840425531915	0.75	0.9875	0.166666666667	0.908045977011	0.272727272727	80	18
0.066170875316	0.527465667915	0.913043478261	0.166666666667	0.943820224719	0.111111111111	0.92817679558	0.133333333333	89	9
